lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,25240_00000,2023-10-15_02-07-53,1697306873,582.8069453239441,582.8069453239441,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,582.8069453239441,1,26998,32.697433948516846,150,66.68443822860718,300.0,0.004663928983112176,0.00045960368840799976,0.05037294963995616,0.015233037360012532,0.015084667683889469,0.02143836953707067,0.004663928983112176,0.00045960368840799976,0.05037294963995616,0.015233037360012532,0.015084667683889469,0,0,0,0,0,550.1084787845612,2000,550.1084787845612,2000.0,1.9828113162517547,0.3235501861721277,0.9421706438064575,0.3323631406724453,0.4610558068454266,0.5688147204249621,1.9828113162517547,0.3235501861721277,0.9421706438064575,0.3323631406724453,0.4610558068454266,0,0,0,0,0,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.01],1,False,2,25240_00000,2023-10-15_02-17-50,1697307470,596.4699668884277,1179.2769122123718,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,1179.2769122123718,2,26998,33.46680021286011,150,100.15123844146729,450.0,0.0034641929250210524,0.0004578597820363939,0.0428992971777916,0.014307256924609343,0.015910876616835594,0.021397658330677072,0.0034641929250210524,0.0004578597820363939,0.0428992971777916,0.014307256924609343,0.015084667683889469,0,0,0,0,1,563.0022809505463,2000,1113.1107597351074,4000.0,1.9654860701560974,0.32115835209190846,0.936007113814354,0.33026808056235313,0.46045502278208733,0.56670834835205,1.9654860701560974,0.32115835209190846,0.936007113814354,0.33026808056235313,0.46045502278208733,0,0,0,0,0,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.0025],2,False,3,25240_00000,2023-10-15_02-27-46,1697308066,596.830589056015,1776.1075012683868,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,1776.1075012683868,3,26998,33.49018979072571,150,133.641428232193,600.0,0.002132983892224729,0.00027342373757467914,0.03556924479703109,0.011431180611252785,0.0119474262992541,0.016535529552290703,0.002132983892224729,0.00027342373757467914,0.03556924479703109,0.011431180611252785,0.0119474262992541,0,0,0,0,0,563.3398108482361,2000,1676.4505705833435,6000.0,1.9612746130228043,0.3206420994102955,0.9341437310278415,0.32971980042755605,0.4603285533040762,0.5662526815921453,1.9612746130228043,0.3206420994102955,0.9341437310278415,0.32971980042755605,0.4603285533040762,0,0,0,0,0,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.0025],3,False,4,25240_00000,2023-10-15_02-37-44,1697308664,597.3711338043213,2373.478635072708,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,2373.478635072708,4,26998,33.409953355789185,150,167.05138158798218,750.0,0.0019749192032031716,0.0002166619252723952,0.03218194308380286,0.009920243211090564,0.010874000880867242,0.014719440385843316,0.0019749192032031716,0.0002166619252723952,0.03218194308380286,0.009920243211090564,0.010874000880867242,0,0,0,0,0,563.9606053829193,2000,2240.411175966263,8000.0,1.9616649649739266,0.320687620729208,0.9342599437832833,0.32972080355882644,0.46037311185896396,0.5662928754003603,1.9612746130228043,0.3206420994102955,0.9341437310278415,0.32971980042755605,0.4603285533040762,1,1,1,1,1,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.000625],4,False,5,25240_00000,2023-10-15_02-47-40,1697309260,596.514092206955,2969.992727279663,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,2969.992727279663,5,26998,33.502071380615234,150,200.5534529685974,900.0,0.001207809989961485,0.00012955364169708143,0.025093969305356345,0.007663407664125164,0.008415428611139456,0.011382163313583294,0.001207809989961485,0.00012955364169708143,0.025093969305356345,0.007663407664125164,0.008415428611139456,0,0,0,0,0,563.0114996433258,2000,2803.4226756095886,10000.0,1.9605122494101523,0.3205074037909508,0.9337116394042969,0.32955833433568477,0.4603050846606493,0.5661337331328622,1.9605122494101523,0.3205074037909508,0.9337116394042969,0.32955833433568477,0.4603050846606493,0,0,0,0,0,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.000625],5,False,6,25240_00000,2023-10-15_02-57-36,1697309856,595.9415955543518,3565.934322834015,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,3565.934322834015,6,26998,33.35138821601868,150,233.9048411846161,1050.0,0.000926799694619452,0.000129385768280675,0.021875677903493245,0.007229517779002587,0.008781195655465125,0.01137478651582855,0.000926799694619452,0.000129385768280675,0.021875677903493245,0.007229517779002587,0.008415428611139456,0,0,0,0,1,562.5896837711334,2000,3366.012359380722,12000.0,1.9607270866036415,0.32057768699526784,0.9337244056165218,0.32955743227899076,0.4603812002837658,0.5661958027001506,1.9605122494101523,0.3205074037909508,0.9337116394042969,0.32955743227899076,0.4603050846606493,1,1,1,0,1,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.00015625],6,False,7,25240_00000,2023-10-15_03-07-32,1697310452,595.3990094661713,4161.333332300186,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,4161.333332300186,7,26998,33.44118094444275,150,267.34602212905884,1200.0,0.0005987821026549985,9.332002111477777e-05,0.017621206144491832,0.005934332668160399,0.007621993990615011,0.009660228833458231,0.0005987821026549985,9.332002111477777e-05,0.017621206144491832,0.005934332668160399,0.007621993990615011,0,0,0,0,0,561.9572646617889,2000,3927.969624042511,14000.0,1.9597478079795838,0.3204750855565071,0.9334276141822339,0.329468406021595,0.4603406213372946,0.566105189480283,1.9597478079795838,0.3204750855565071,0.9334276141822339,0.329468406021595,0.4603050846606493,0,0,0,0,2,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[0.00015625],7,False,8,25240_00000,2023-10-15_03-17-30,1697311050,598.0902664661407,4759.423598766327,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,4759.423598766327,8,26998,33.53903245925903,150,300.88505458831787,1350.0,0.0006837008769313495,8.892645297843652e-05,0.018343894146382808,0.005902063387135665,0.007354086864118775,0.009430082342081458,0.0005987821026549985,8.892645297843652e-05,0.017621206144491832,0.005902063387135665,0.007354086864118775,1,0,1,0,0,564.5507054328918,2000,4492.520329475403,16000.0,1.9599043501615525,0.3205045101493597,0.9334631071388722,0.3294793550372124,0.46036356407403944,0.5661311775104421,1.9597478079795838,0.3204750855565071,0.9334276141822339,0.329468406021595,0.4603050846606493,1,1,1,1,3,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[3.90625e-05],8,False,9,25240_00000,2023-10-15_03-27-24,1697311644,594.5933468341827,5354.01694560051,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,5354.01694560051,9,26998,33.24048376083374,150,334.1255383491516,1500.0,0.0005301707074977458,7.81750576182579e-05,0.016183135385314625,0.0053017833797882,0.007075218002622326,0.008841665997890777,0.0005301707074977458,7.81750576182579e-05,0.016183135385314625,0.0053017833797882,0.007075218002622326,0,0,0,0,0,561.3522560596466,2000,5053.872585535049,18000.0,1.959884215950966,0.32041037507355213,0.9333491657972336,0.3294138759821653,0.46030924962460995,0.5660480324791811,1.9597478079795838,0.32041037507355213,0.9333491657972336,0.3294138759821653,0.4603050846606493,2,0,0,0,4,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
[3.90625e-05],9,False,10,25240_00000,2023-10-15_03-37-20,1697312240,595.7425043582916,5949.759449958801,35639,sepc622.se.cuhk.edu.hk,137.189.58.22,5949.759449958801,10,26998,33.32415199279785,150,367.44969034194946,1650.0,0.0004908305757756656,7.738616041024216e-05,0.015542691542456548,0.005221862538407247,0.007078732441489895,0.008796940400516656,0.0004908305757756656,7.738616041024216e-05,0.015542691542456548,0.005221862538407247,0.007075218002622326,0,0,0,0,1,562.4177587032318,2000,5616.290344238281,20000.0,1.9592172241210937,0.32042680750787256,0.9332796975970268,0.3294271411448717,0.46031802202761174,0.5660625473460266,1.9592172241210937,0.32041037507355213,0.9332796975970268,0.3294138759821653,0.4603050846606493,0,1,0,1,5,33.98700428009033,150,33.98700428009033,150.0,11.083205960591634,0.4396765939394633,2.726840092341105,0.6205502351125082,0.23365272760391234,0.6630811367694479
