lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,580d1_00000,2023-10-14_22-34-13,1697294053,156.927241563797,156.927241563797,428328,sepc622.se.cuhk.edu.hk,137.189.58.22,156.927241563797,1,10932,8.718448877334595,150,18.246866703033447,300.0,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06824391012390454,0.1186715795677782,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06824391012390454,0,0,0,0,0,148.20826268196106,2000,148.20826268196106,2000.0,0.6660925018787384,0.1478638518974185,0.44602181285619735,0.199500869885087,0.3283573357462883,0.38453069044930405,0.6660925018787384,0.1478638518974185,0.44602181285619735,0.199500869885087,0.3283573357462883,0,0,0,0,0,9.528417825698853,150,9.528417825698853,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.01],1,False,2,580d1_00000,2023-10-14_22-36-41,1697294201,148.10627675056458,305.0335183143616,428328,sepc622.se.cuhk.edu.hk,137.189.58.22,305.0335183143616,2,10932,8.696205854415894,150,26.94307255744934,450.0,0.0742090026040872,0.015019078155358632,0.2304219455520312,0.10288215388854345,0.06659038364887238,0.12255234863256857,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06659038364887238,1,1,1,1,0,139.4095618724823,2000,287.61782455444336,4000.0,0.660965962588787,0.14696904180198908,0.4409201121926308,0.19711405749619007,0.32875039364397524,0.383365415500654,0.660965962588787,0.14696904180198908,0.4409201121926308,0.19711405749619007,0.3283573357462883,0,0,0,0,1,9.528417825698853,150,9.528417825698853,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.01],2,False,3,580d1_00000,2023-10-14_22-39-09,1697294349,147.90504026412964,452.9385585784912,428328,sepc622.se.cuhk.edu.hk,137.189.58.22,452.9385585784912,3,10932,8.45353889465332,150,35.39661145210266,600.0,0.07187774548927943,0.015026485876490673,0.22324523399273555,0.10125722492734592,0.06908993219335874,0.12258256758809824,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06659038364887238,2,2,2,2,1,139.451007604599,2000,427.06883215904236,6000.0,0.6597795143127442,0.1469105779901147,0.44002906769514083,0.1968188710361719,0.32884549723565576,0.3832891571517706,0.6597795143127442,0.1469105779901147,0.44002906769514083,0.1968188710361719,0.3283573357462883,0,0,0,0,2,9.528417825698853,150,9.528417825698853,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
