lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,aa90d_00002,2023-10-01_22-28-42,1696170522,57.581578731536865,57.581578731536865,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,57.581578731536865,1,21925,2.0645081996917725,150,4.637650966644287,300.0,0.055751855820417404,0.006820220459873478,0.1862908802429835,0.06582736611366272,0.08258462605033383,0.055751855820417404,0.006820220459873478,0.1862908802429835,0.06582736611366272,0,0,0,0,55.51625299453735,2000,55.51625299453735,2000.0,2.0550132658481597,0.7222418073415756,1.054605482518673,0.5277032377719879,0.849848108394421,2.0550132658481597,0.7222418073415756,1.054605482518673,0.5277032377719879,0,0,0,0,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.01],1,False,2,aa90d_00002,2023-10-01_22-29-39,1696170579,56.90448021888733,114.4860589504242,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,114.4860589504242,2,21925,2.060175895690918,150,6.697826862335205,450.0,0.05560052201151848,0.006703756684437394,0.18648703704277675,0.06566758801539739,0.08187647210546747,0.05560052201151848,0.006703756684437394,0.1862908802429835,0.06566758801539739,0,0,1,0,54.843644857406616,2000,110.35989785194397,4000.0,2.0476312999725343,0.7208549212217331,1.0526697753071785,0.527107686907053,0.849031755131534,2.0476312999725343,0.7208549212217331,1.0526697753071785,0.527107686907053,0,0,0,0,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.0025],2,False,3,aa90d_00002,2023-10-01_22-30-36,1696170636,56.781049489974976,171.26710844039917,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,171.26710844039917,3,21925,2.072355270385742,150,8.770182132720947,600.0,0.05520078534881274,0.006700045255323251,0.18463699529568353,0.06514788508415222,0.08185380415914248,0.05520078534881274,0.006700045255323251,0.18463699529568353,0.06514788508415222,0,0,0,0,54.70810103416443,2000,165.0679988861084,6000.0,2.0458677891492845,0.7208734264969826,1.052102975010872,0.5270414176285267,0.8490426529315136,2.0458677891492845,0.7208549212217331,1.052102975010872,0.5270414176285267,0,1,0,0,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.0025],3,False,4,aa90d_00002,2023-10-01_22-31-33,1696170693,56.73929524421692,228.0064036846161,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,228.0064036846161,4,21925,2.0655646324157715,150,10.835746765136719,750.0,0.054400008643666904,0.006681163984661301,0.18375020643075307,0.06497265646855037,0.08173838746061303,0.054400008643666904,0.006681163984661301,0.18375020643075307,0.06497265646855037,0,0,0,0,54.672889947891235,2000,219.74088883399963,8000.0,2.045986372113228,0.720799647897482,1.0521653863191605,0.5270146359801292,0.848999203708391,2.0458677891492845,0.720799647897482,1.052102975010872,0.5270146359801292,1,0,1,0,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.000625],4,False,5,aa90d_00002,2023-10-01_22-32-29,1696170749,56.733492851257324,284.7398965358734,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,284.7398965358734,5,21925,2.061666488647461,150,12.89741325378418,900.0,0.05430108472704887,0.006811831761151552,0.18448660542567571,0.06548241108655929,0.08253382192260063,0.05430108472704887,0.006681163984661301,0.18375020643075307,0.06497265646855037,0,1,1,1,54.67109203338623,2000,274.41198086738586,10000.0,2.045455336213112,0.7209253949522972,1.0519733507037163,0.5269995928406715,0.8490732565287269,2.045455336213112,0.720799647897482,1.0519733507037163,0.5269995928406715,0,1,0,0,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.000625],5,False,6,aa90d_00002,2023-10-01_22-33-26,1696170806,56.728904485702515,341.4688010215759,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,341.4688010215759,6,21925,2.083549737930298,150,14.980962991714478,1050.0,0.05399008726080259,0.006714586062977711,0.18366160531838735,0.06509831900397936,0.08194257783947068,0.05399008726080259,0.006681163984661301,0.18366160531838735,0.06497265646855037,0,2,0,2,54.644784688949585,2000,329.05676555633545,12000.0,2.0458015682697295,0.720992454200983,1.0520548999905586,0.5270300424396992,0.8491127452823818,2.045455336213112,0.720799647897482,1.0519733507037163,0.5269995928406715,1,2,1,1,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.00015625],6,False,7,aa90d_00002,2023-10-01_22-34-23,1696170863,56.628807067871094,398.097608089447,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,398.097608089447,7,21925,2.0464794635772705,150,17.027442455291748,1200.0,0.05371481356521447,0.006656918848554293,0.1833140057325363,0.06485494708021482,0.08158994330525235,0.05371481356521447,0.006656918848554293,0.1833140057325363,0.06485494708021482,0,0,0,0,54.581607818603516,2000,383.63837337493896,14000.0,2.045156427979469,0.7207674206197262,1.0518572051525117,0.5269358997941017,0.8489802239273458,2.045156427979469,0.7207674206197262,1.0518572051525117,0.5269358997941017,0,0,0,0,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[0.00015625],7,False,8,aa90d_00002,2023-10-01_22-35-20,1696170920,57.17019963264465,455.2678077220917,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,455.2678077220917,8,21925,2.1963319778442383,150,19.223774433135986,1350.0,0.05378057802716891,0.006744806949670116,0.18371631731589635,0.06516493385036787,0.08212677364702765,0.05371481356521447,0.006656918848554293,0.1833140057325363,0.06485494708021482,1,1,1,1,54.97317886352539,2000,438.61155223846436,16000.0,2.045205984592438,0.7207357928752899,1.0519000905752183,0.5269389495849609,0.848961596820074,2.045156427979469,0.7207357928752899,1.0518572051525117,0.5269358997941017,1,0,1,1,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[3.90625e-05],8,False,9,aa90d_00002,2023-10-01_22-36-16,1696170976,55.99439024925232,511.262197971344,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,511.262197971344,9,21925,2.1161153316497803,150,21.339889764785767,1500.0,0.05367353277901808,0.006656129468853275,0.18322028209765753,0.0648441714545091,0.08158510568022373,0.05367353277901808,0.006656129468853275,0.18322028209765753,0.0648441714545091,0,0,0,0,53.877583026885986,2000,492.48913526535034,18000.0,2.0453941571712493,0.720977357774973,1.0519378571510314,0.5269866777062416,0.8491038557061044,2.045156427979469,0.7207357928752899,1.0518572051525117,0.5269358997941017,2,1,2,2,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
[3.90625e-05],9,False,10,aa90d_00002,2023-10-01_22-37-13,1696171033,56.910927057266235,568.1731250286102,59395,sepc622.se.cuhk.edu.hk,137.189.58.22,568.1731250286102,10,21925,2.0466346740722656,150,23.386524438858032,1650.0,0.053705946132540705,0.006660187660406033,0.1832144621014595,0.06486130952835083,0.0816099727999344,0.05367353277901808,0.006656129468853275,0.1832144621014595,0.0648441714545091,1,1,0,1,54.86364674568176,2000,547.3527820110321,20000.0,2.0451692210435866,0.7208328472077846,1.0518712727427482,0.526966842353344,0.8490187555100209,2.045156427979469,0.7207357928752899,1.0518572051525117,0.5269358997941017,3,2,3,3,2.5731427669525146,150,2.5731427669525146,150.0,5.492864538828532,0.32990059137344363,1.8410500892003376,0.5285055387020111,0.5743697340332651
